Employee Number,Surname,Forename,Gross Pay,Taxable Gross,Net Pay,Basic,PDI,SMP,CMP,SSP,CSP BASIC ADJ,SSP OFFSET,UNPAID LEAVE,ACTING ALLOW,WEIGHTING,SUPPLEMENT,OT HRS @ 1,OT HRS @ 1.25,OT HRS @ 1.50,OT HRS @ 2.00,OT HRS @ 3.00,OT HRS CALL,OT HRS @ 2.50,OT HRS @ 1.75,OT @ 1.00,OT @ 1.25,OT @ 1.50,OT @ 2.00,OT @ 3.00,OVERTIME,OT CALL OUT,OT @ 2.50,OT @ 1.75,CUST SAT INC,SERV INCENTIVE,ANNUAL BONUS,REFER A FRIEND,BONUS,TEAM LEADER,BDE BONUS,INCENTIVE,PROD BONUS,KIT DAYS,SALES BONUS,COMMISSION,HOLIDAY PAY,INCENTIVE ADJUST,PILON N,PILON T,EXGRATIA N,EXGRATIA T,SIGNING FEE,EXGRATIA T & N,RETENTION BONS,RELOC N,MED EE HCARE,MED SPUSE HCARE,MED PARENT HCARE,MED FAMILY HCARE,MED EE HCARE,MED SPOUSE HCARE,MED PARENT HCARE,MED FAMILY HCARE,MED EE,MED EE BRONZE,MED EE ADJ,MED SPOUSE ADJ,MED SPF ADJ,MED FAM ADJ,OPT GAIN TN,WK EVE @ 0.20 HRS,WK EVE @ 0.20,WK EVE @ 0.30 HRS,WK EVE @ 0.30,WK EVE @ 0.40 HRS,WK EVE @ 0.40,WK DAY @ 2.00 HRS,WK DAY @ 2.00,EXPENSES,CHOOSECHILDCA,CHOOSE BIKES,CHOOSE MOBILES,CHOOSE HEALTH,CHILDCAR NEW,SMART MILES,MILEAGE PAYMENT,IPAD 2,CHOOSE MOB TOPUP,STAFF TV,SMART PENSION,SMART AVC %,SMART AVC £,SMART PENS,SMART PENS,PENSION REFUND,MAT CHOICES PAY,TOP UP HOLIDAY,TOP UP TRAIN,TOP UP OTHER,TOP UP BANK HOL,TAX,NI EES,NI ERS,CSA PRE 04/03,PRIOIRTY 1,PRIORITY 2,EAS,NON PRIORTY 1,NON PRIORTY 2,COUNCIL TAX1,COUNCIL TAX2,COUNCIL TAX3,EAS2,COUNCIL TAX > 07,EAS3,CSA POST 04/03,CSA POST 04/03,CSA POST 04/03,CSA POST 04/03,CSA POST 04/03,AEO FINES,COUNCIL TAX2 > 07,EAS POST 04/10,EAS2 POST 04/10,AEO FINES2,COUNCIL TAX > 07,EAS3 POST 04/10,GAYE,ADVANCE,LOAN,OVERPAYMENTS,MONIES REC,SAYE 2008,SAYE 2009,EQUIP LOSS,CAR FINES,PRIVMOB CALL,VEH REPAIR,SAYE 2010,SAYE 2011,SAYE 2012 3YR,SAYE 2012 5YR,SAYE 2013 3YR,SAYE 2013 5YR,OPT GAIN DED,CO INVESTMENT,CHOOSE CHILDCARE DED,CHOOSE COMPS DED,CHOOSE BIKES DED,CHOOSE VOUCH DED,CHOOSE TRAVEL DED,MED EE HCARE DED,MED SPOUSE HCARE DED,MED PARENT HCARE DED,MED FAM HCARE DED,PENSION 1 EES,PENSION 1 ERS,PENSION 1F EES,PENSION 1F ERS,PENSION EES,PENSION ERS,PENSION ENT EES,PENSION ENT ERS,PENSION EES,PENSION ERS,L & G PENSION EES,L & G PENSION ERS,L & G PENSION % EES,L & G PENSION % ERS,L & G PEN FIXED EES,L & G PEN FIXED ERS,VC % EES,VC % EES,VC £ EES,VC £ EES,STUDENT LOAN,SPLIT NET PAY,IPAD 3,STAFF TV 2,GYM FLEX,DENTAL - EES L1,DENTAL - EES L3,DENTAL - EES L6,DENTAL-EES&PARL1,DENTAL-EES&PARL3,DENTAL-EES&PARL6,DENTAL - SP L1,DENTAL - SP L3,DENTAL - SP L6,DENTAL - FAM L1,DENTAL - FAM L3
11106,Last Name 11106,First Name 11106,-3347,-3347,1704.94,100,0,0,0,367.71,0,-367.71,0,0,0,0,9.5,0,0,0,0,0,0,0,64.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0,3750,-3750,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1337.31,29.27,33.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12827,Last Name 12827,First Name 12827,293.19,293.19,43.19,100,293.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.33,0,0,0,0,0,0,-74.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121027,Last Name 121027,First Name 121027,3993.77,3993.77,2861.5,1268.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1691.52,0,0,0,0,0,0,0,0,0,0,0,0,0,92.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31.14,0,0,0,0,0,0,903.73,0,0,68.25,632,347.36,446.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121143,Last Name 121143,First Name 121143,2719.98,2719.98,1847.14,1225.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.42,-7.35,0,0,0,0,0,166.76,0,0,0,376,246.84,283.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,25,0,0,0,0,0,0,88.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121579,Last Name 121579,First Name 121579,140.13,140.13,112.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.13,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125172,Last Name 125172,First Name 125172,2806.06,2806.06,2089.08,1983.75,0,0,0,0,0,0,0,0,86.67,0,43.5,0,0,0,0,0,0,0,497.84,0,0,0,0,0,0,0,0,0,0,0,0,193.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.87,0,0,0,0,0,0,0,0,0,0,394.4,248.25,285.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125635,Last Name 125635,First Name 125635,362.83,359.04,209.04,761.08,0,0,0,175.1,-351.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.91,0,0,0,0,-92.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,50,0,0,0,0,0,0,0,0,0,0,0,0,3.79,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125813,Last Name 125813,First Name 125813,3772.52,3772.52,2790.13,1311.58,0,0,0,0,0,0,0,0,0,238.34,15,0,0,0,0,0,0,0,113.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.43,0,0,0,0,0,0,910.24,0,56.99,0,487.6,344.79,429.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,49.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127684,Last Name 127684,First Name 127684,1871.98,1871.98,1470.24,1184.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569.1,0,0,0,0,0,0,0,0,0,0,0,0,55.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.88,0,0,0,0,0,0,60.32,0,4.27,12.25,207.6,138.39,159.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127984,Last Name 127984,First Name 127984,410.94,410.94,297.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.27,16.67,82,30.95,35.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
